field_id,date,soil_moisture_vwc,soil_temp_c,organic_matter_pct,disease_incidence_pct
F05,2022-08-05,0.263,19.6,3.01,35.9
F04,2022-03-20,0.416,12.1,4.27,53.9
F11,2022-01-20,0.127,13.7,4.17,28.8
F12,2022-12-19,0.341,15.8,4.56,15.0
F01,2022-12-11,0.193,20.5,4.42,43.4
F09,2022-01-06,0.322,27.6,3.47,50.2
F01,2022-12-11,0.173,9.9,4.45,53.3
F03,2022-07-19,0.223,27.4,3.12,28.5
F09,2022-08-25,0.326,17.0,4.55,10.5
F08,2022-05-19,0.243,14.5,3.18,20.3
F04,2022-09-21,0.319,14.1,1.68,56.4
F04,2022-09-30,0.314,15.5,4.68,54.9
F12,2022-07-25,0.154,16.8,1.88,14.2
F09,2022-10-21,0.328,16.3,3.54,43.9
F12,2022-06-01,0.204,25.8,4.35,25.3
F09,2022-07-08,0.247,15.1,3.91,27.1
F04,2022-08-20,0.274,13.0,3.61,22.2
F07,2022-08-25,0.234,27.6,5.4,27.4
F02,2022-03-04,0.199,24.4,2.33,20.7
F05,2022-02-17,0.169,8.6,3.35,25.1
F07,2022-06-03,0.308,19.7,4.4,24.2
F04,2022-03-20,0.347,21.2,5.42,30.1
F03,2022-01-30,0.177,11.1,2.22,21.8
F03,2022-05-19,0.301,15.0,1.35,45.9
F03,2022-06-16,0.159,11.8,4.67,46.7
F11,2022-02-02,0.313,9.8,3.97,48.6
F02,2022-07-18,0.21,18.8,3.12,27.0
F04,2022-09-10,0.228,9.5,5.13,26.8
F10,2022-05-11,0.321,17.7,5.41,27.2
F03,2022-04-17,0.259,18.0,2.8,25.7
F09,2022-09-11,0.255,20.5,3.02,42.0
F01,2022-12-02,0.211,25.9,3.61,36.9
F06,2022-10-28,0.364,8.6,2.86,41.9
F01,2022-07-17,0.211,11.7,3.11,34.2
F04,2022-12-26,0.315,22.0,2.21,22.8
F08,2022-07-31,0.138,17.0,4.79,24.9
F12,2022-12-16,0.393,11.8,3.12,46.9
F07,2022-12-30,0.41,12.0,5.09,44.4
F10,2022-02-17,0.175,11.9,4.73,49.0
F04,2022-03-09,0.252,27.3,3.34,39.8
F06,2022-08-26,0.152,16.0,2.06,29.7
F02,2022-03-04,0.244,20.1,1.26,37.1
F02,2022-03-16,0.38,20.0,2.4,39.4
F01,2022-08-17,0.298,23.9,4.69,45.1
F06,2022-04-11,0.161,18.1,3.58,20.0
F10,2022-04-29,0.411,16.1,4.51,8.4
F02,2022-12-20,0.287,23.0,1.63,41.2
F11,2022-06-02,0.142,14.8,4.44,17.6
F10,2022-12-10,0.23,10.1,5.44,10.6
F04,2022-07-12,0.164,28.9,1.31,27.8
F02,2022-09-09,0.385,27.6,1.77,36.2
F08,2022-12-22,0.237,17.6,4.87,26.8
F12,2022-12-06,0.27,23.2,2.84,12.1
F06,2022-10-02,0.372,25.2,2.58,35.8
F05,2022-07-07,0.29,16.0,4.85,48.3
F04,2022-10-15,0.135,11.8,4.99,50.9
F03,2022-11-08,0.142,11.3,5.47,29.8
F01,2022-10-26,0.172,26.4,2.28,23.6
F06,2022-02-28,0.322,28.8,3.69,38.0
F06,2022-05-18,0.305,17.4,1.63,40.6
F09,2022-04-18,0.227,28.6,3.37,32.6
F07,2022-02-20,0.214,17.9,4.8,20.7
F09,2022-08-10,0.144,17.5,2.63,22.4
F08,2022-03-16,0.141,13.6,3.4,21.5
F03,2022-04-16,0.311,19.9,4.06,35.2
F01,2022-08-18,0.359,16.2,1.51,9.2
F02,2022-11-01,0.271,26.2,2.44,5.0
F04,2022-02-23,0.327,28.0,2.78,56.4
F02,2022-08-01,0.254,23.0,5.14,40.7
F12,2022-02-15,0.136,17.2,4.19,18.6
F10,2022-04-02,0.121,15.7,3.88,44.5
F05,2022-02-28,0.36,28.4,2.23,23.0
F07,2022-08-02,0.38,22.3,4.87,29.1
F11,2022-06-03,0.415,21.2,2.17,32.7
F01,2022-12-19,0.212,8.0,4.51,42.1
F11,2022-08-08,0.34,28.7,2.37,62.4
